Train Seed,Eval Seed,Evaluation Type,Mean Reward,Std Dev
42,42,Train,18.99,5.29
42,3,Test,18.41,5.57
42,33,Test,18.32,5.93
42,333,Test,17.81,6.45
42,3333,Test,17.5,6.18
42,33333,Test,16.95,6.98
123,123,Train,20.28,1.24
123,3,Test,20.48,0.13
123,33,Test,20.13,2.29
123,333,Test,19.92,2.68
123,3333,Test,19.91,2.8
123,33333,Test,20.46,0.04
456,456,Train,20.35,1.58
456,3,Test,20.61,0.32
456,33,Test,19.67,3.64
456,333,Test,19.76,3.54
456,3333,Test,20.11,2.85
456,33333,Test,19.84,3.27
