Train Seed,Eval Seed,Evaluation Type,Mean Reward,Std Dev,Crash Rate
42,42,Train,9.35,4.66,1.0
42,3,Test,9.44,5.11,1.0
42,33,Test,8.87,4.36,1.0
42,333,Test,9.39,6.7,1.0
42,3333,Test,9.19,5.8,1.0
42,33333,Test,10.71,6.15,1.0
123,123,Train,12.22,6.35,0.98
123,3,Test,11.26,5.93,1.0
123,33,Test,10.72,5.62,0.98
123,333,Test,9.43,5.38,1.0
123,3333,Test,10.02,5.27,1.0
123,33333,Test,10.61,6.21,0.98
456,456,Train,11.43,6.56,0.98
456,3,Test,11.04,5.28,1.0
456,33,Test,10.21,5.23,0.98
456,333,Test,10.0,5.24,0.98
456,3333,Test,9.27,3.66,1.0
456,33333,Test,11.93,6.06,0.94
