Train Seed,Eval Seed,Evaluation Type,Mean Reward,Std Dev,Crash Rate
42,42,Train,20.55,0.23,0.0
42,3,Test,20.03,2.56,0.04
42,33,Test,20.55,0.23,0.0
42,333,Test,19.98,2.7,0.04
42,3333,Test,20.16,2.5,0.02
42,33333,Test,20.23,1.98,0.02
123,123,Train,20.29,1.24,0.02
123,3,Test,20.48,0.07,0.0
123,33,Test,20.18,2.3,0.02
123,333,Test,19.9,2.89,0.04
123,3333,Test,19.94,2.8,0.04
123,33333,Test,20.27,1.44,0.02
456,456,Train,20.16,2.13,0.04
456,3,Test,20.26,2.23,0.02
456,33,Test,20.24,2.33,0.02
456,333,Test,19.87,3.25,0.04
456,3333,Test,19.97,2.81,0.04
456,33333,Test,20.01,2.42,0.04
