Train Seed,Eval Seed,Evaluation Type,Mean Reward,Std Dev
42,42,Train,20.21,2.31
42,3,Test,20.55,0.24
42,33,Test,20.21,2.31
42,333,Test,19.96,2.73
42,3333,Test,20.0,2.82
42,33333,Test,20.06,2.24
123,123,Train,20.38,1.28
123,3,Test,20.5,0.18
123,33,Test,19.95,2.69
123,333,Test,19.65,3.5
123,3333,Test,19.99,2.82
123,33333,Test,20.04,2.63
456,456,Train,20.53,0.18
456,3,Test,20.52,0.19
456,33,Test,20.18,2.3
456,333,Test,19.98,2.69
456,3333,Test,19.91,3.06
456,33333,Test,20.31,1.45
