Train Seed,Eval Seed,Evaluation Type,Mean Reward,Std Dev,Crash Rate
42,42,Train,20.07,3.77,0.06
42,3,Test,19.16,4.57,0.16
42,33,Test,19.89,3.89,0.08
42,333,Test,18.77,5.42,0.16
42,3333,Test,20.03,3.27,0.12
42,33333,Test,19.03,5.08,0.14
123,123,Train,20.31,1.25,0.02
123,3,Test,20.49,0.07,0.0
123,33,Test,20.16,2.3,0.02
123,333,Test,19.98,2.69,0.04
123,3333,Test,19.94,2.8,0.04
123,33333,Test,19.98,2.59,0.04
456,456,Train,19.92,3.04,0.06
456,3,Test,20.52,1.42,0.02
456,33,Test,20.31,2.76,0.06
456,333,Test,19.97,3.05,0.06
456,3333,Test,19.77,3.56,0.06
456,33333,Test,19.84,3.08,0.06
